time (s),DL Filtering Design 1,DL Filtering Design 2,DL Filtering Design 3,DL Filtering Design 4,DL Filtering Design 5,DL Filtering Design 6,DL Filtering Design 7,ProteinMPNN Design 1
29.8,0.05316437,0.06820357,0.07111564,0.06335534,0.04794504,0.06220974,0.05773826,0.05586337
30,0.05192725,0.06787118,0.06589335,0.05596243,0.05331653,0.05861323,0.05771389,0.05839377
30.2,0.05572212,0.06779274,0.06279639,0.06476011,0.05130734,0.06011027,0.05608514,0.0578302
30.4,0.05071954,0.06873728,0.062441,0.06462903,0.05111608,0.05778823,0.05450861,0.05490948
30.6,0.05467948,0.06844773,0.06825,0.06277384,0.04840172,0.06372438,0.05394844,0.05870891
30.8,0.05455739,0.07065991,0.06524247,0.06066127,0.04930168,0.05810603,0.0537478,0.05805228
31,0.0521598,0.06258053,0.06772549,0.06200314,0.05353945,0.06261725,0.05384549,0.05764549
31.2,0.05837717,0.06631082,0.06533501,0.06150976,0.05120093,0.06185244,0.06108474,0.06103266
31.4,0.0541632,0.07000139,0.06895164,0.06242818,0.04851091,0.05741342,0.05809199,0.05807668
31.6,0.05264991,0.06885428,0.06773879,0.06120782,0.05217303,0.05897106,0.05645894,0.05913024
31.8,0.0541803,0.06887105,0.06699179,0.06333458,0.05270853,0.05760397,0.05441127,0.05873737
32,0.05251661,0.06610019,0.06721,0.06164818,0.0495786,0.05944799,0.05748769,0.06218727
32.2,0.0511795,0.06762903,0.06815726,0.06519084,0.05362079,0.06654425,0.05573967,0.0578718
32.4,0.05330229,0.06745449,0.06982133,0.06279275,0.05495209,0.06315067,0.06101011,0.05781675
32.6,0.05621312,0.06965583,0.06714911,0.06408884,0.05303893,0.06219994,0.05761107,0.06110923
32.8,0.05856775,0.07199453,0.07128724,0.06421374,0.05362654,0.06286366,0.06075602,0.0606485
33,0.0561271,0.06437828,0.06698836,0.06339809,0.05518388,0.0607677,0.06048993,0.06313779
33.2,0.05273861,0.07016936,0.07385655,0.06494728,0.05478444,0.06370818,0.06037626,0.0579829
33.4,0.05525744,0.06506877,0.07057191,0.06531885,0.05061553,0.06340864,0.06273149,0.06141236
33.6,0.05684916,0.07385368,0.07541286,0.06474847,0.05345563,0.06711923,0.05887771,0.06015542
33.8,0.05488683,0.06794741,0.06659491,0.06451667,0.05088944,0.06183294,0.05692902,0.06008995
34,0.05412164,0.0737798,0.06871448,0.0605056,0.05405269,0.0642061,0.05579407,0.06457131
34.2,0.05314259,0.06826828,0.07414822,0.06747228,0.05278505,0.06329674,0.06097409,0.0600304
34.4,0.05878429,0.06982028,0.06956173,0.06676038,0.05390186,0.06135077,0.05992007,0.061211
34.6,0.05653365,0.06462675,0.07156847,0.066756,0.0531562,0.06182698,0.06119009,0.06097183
34.8,0.05777529,0.07024881,0.07821212,0.06788115,0.05300732,0.06431018,0.06171279,0.06209603
35,0.05683282,0.07162244,0.07173294,0.0639193,0.05732146,0.06696436,0.06230087,0.05734338
35.2,0.05555165,0.0720654,0.07081822,0.06753197,0.0504144,0.06827544,0.06125244,0.06052154
35.4,0.05815158,0.06681793,0.07140251,0.06267676,0.05608506,0.06400307,0.0584003,0.06142841
35.6,0.05735838,0.07302791,0.07171291,0.06850298,0.0523156,0.06499927,0.05928927,0.06159573
35.8,0.05297303,0.07557804,0.07341362,0.06459158,0.05454832,0.06518021,0.05893525,0.062897
36,0.05405244,0.07257815,0.06876221,0.06752563,0.05202271,0.06834692,0.06667809,0.06443296
36.2,0.0546211,0.07215634,0.07070983,0.07099954,0.05472626,0.06706285,0.05616668,0.06251451
36.4,0.05872049,0.07134289,0.07360837,0.06602094,0.0569112,0.06478099,0.05675698,0.06445202
36.6,0.05596019,0.07444225,0.07313842,0.0683475,0.05525684,0.06860691,0.05931275,0.06570918
36.8,0.05794534,0.0705,0.07128685,0.06634945,0.0576168,0.0666572,0.06491861,0.05853779
37,0.05586071,0.07453323,0.07303128,0.07180697,0.05725424,0.0629181,0.06016701,0.06185725
37.2,0.05598379,0.07103839,0.07508154,0.06710012,0.05552753,0.06820958,0.06221323,0.06587293
37.4,0.06036276,0.07107034,0.07294794,0.06861012,0.05699396,0.06514501,0.06179858,0.06360277
37.6,0.05955996,0.07567164,0.07486139,0.07161063,0.05562565,0.0682699,0.06645956,0.06249958
37.8,0.0573673,0.07038816,0.0741609,0.06975196,0.05496598,0.06519542,0.06167924,0.06175816
38,0.0556408,0.07059368,0.07421944,0.071444,0.05794508,0.0605211,0.05799703,0.06724081
38.2,0.0578693,0.06695723,0.0683102,0.06581372,0.05774258,0.06957792,0.064962,0.06296861
38.4,0.05634744,0.07031345,0.07551891,0.07065748,0.05911953,0.07106765,0.0616054,0.06642199
38.6,0.05987196,0.07393029,0.07462691,0.06986261,0.05895636,0.06496878,0.06353745,0.064509
38.8,0.05525785,0.0787909,0.07701436,0.07121878,0.05571754,0.0707541,0.06498577,0.06680422
39,0.05568199,0.07741604,0.07754976,0.06866374,0.05598975,0.06597456,0.0637299,0.06480524
39.2,0.06258001,0.07732755,0.0783897,0.06818586,0.0614002,0.06619076,0.06450376,0.06560033
39.4,0.05828901,0.07779944,0.07763102,0.06998991,0.05855891,0.06637774,0.0623153,0.06728408
