DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-001113,5.815831566,6.795065583,LC1SQSF,Lung Cancer,Lung
ACH-001289,5.522306893,7.497532533,COGAR359,Rhabdoid,Soft Tissue
ACH-001339,5.524502537,6.543341212,COLO794,Skin Cancer,Skin
ACH-001538,4.90014226,7.217812331,KKU213,Bile Duct Cancer,Bile Duct
ACH-000242,5.150153455,7.941341105,RT4,Bladder Cancer,Urinary Tract
ACH-000708,5.258518925,7.601770788,SNU283,Colon/Colorectal Cancer,Colorectal
ACH-000327,4.445594291,6.22881869,NCIH1395,Lung Cancer,Lung
ACH-000233,5.477353527,7.201045686,DEL,Lymphoma,Lymphocyte
ACH-000461,5.951634417,7.718224612,SNU1196,Bile Duct Cancer,Bile Duct
ACH-000705,5.076815597,6.459595552,LC1F,Lung Cancer,Lung
ACH-001794,3.992768431,6.973266861,93T449,Liposarcoma,Soft Tissue
ACH-002023,5.093813673,7.018033223,TGBC18TKB,Colon/Colorectal Cancer,Colorectal
ACH-000528,5.129695157,7.089582893,ABC1,Lung Cancer,Lung
ACH-001655,4.482202926,6.666756592,SKN,Endometrial/Uterine Cancer,Uterus
ACH-000167,6.156234798,8.19184884,KE97,Myeloma,Plasma Cell
ACH-000792,6.220523436,7.62935662,BFTC909,Kidney Cancer,Kidney
ACH-001098,4.292781749,6.92314918,KCIMOH1,Pancreatic Cancer,Pancreas
ACH-000570,5.405311683,7.5987225,YKG1,Brain Cancer,Central Nervous System
ACH-000351,5.309976492,7.199770484,MKN1,Gastric Cancer,Gastric
ACH-000769,5.729824644,7.19357464,LK2,Lung Cancer,Lung
ACH-000154,5.106850796,7.705148528,HS888T,Fibroblast,Fibroblast
ACH-000828,4.658782734,7.785615937,ZR7530,Breast Cancer,Breast
ACH-000421,6.286326727,7.54225805,SW837,Colon/Colorectal Cancer,Colorectal
ACH-000765,6.058965822,7.03968676,WM983B,Skin Cancer,Skin
ACH-001375,6.046141782,6.619266268,PACADD119,Pancreatic Cancer,Pancreas
ACH-000008,5.512542955,7.068455852,A101D,Skin Cancer,Skin
ACH-001814,4.819668183,7.437960088,OS252,Bone Cancer,Bone
ACH-000800,6.119563684,7.604886762,NCIH446,Lung Cancer,Lung
ACH-000606,5.060047384,7.294436954,PECAPJ34CLONEC12,Head and Neck Cancer,Upper Aerodigestive
ACH-000317,3.94204526,5.879950768,TUHR14TKB,Kidney Cancer,Kidney
ACH-000123,5.171927354,7.07585348,COV434,Ovarian Cancer,Ovary
ACH-000723,5.305240966,6.605849867,YD10B,Head and Neck Cancer,Upper Aerodigestive
ACH-002066,5.275752049,7.120186028,HSSCH2,Sarcoma,Central Nervous System
ACH-001536,1.350497247,5.266786541,KKU100,Bile Duct Cancer,Bile Duct
ACH-000313,4.028569152,6.980368105,KMRC3,Kidney Cancer,Kidney
ACH-002019,3.554588852,6.793505772,HOKUG,Cervical Cancer,Cervix
ACH-000728,6.328944145,8.646342695,KASUMI2,Leukemia,Blood
ACH-000700,5.529196268,6.241268177,NCIH2882,Lung Cancer,Lung
ACH-000823,4.705977902,7.005849076,KYSE140,Esophageal Cancer,Esophagus
ACH-000678,5.315783575,7.07307042,MKN7,Gastric Cancer,Gastric
ACH-000006,5.730368236,8.111448698,MONOMAC6,Leukemia,Blood
ACH-002029,5.624100895,7.31097625,SAS,Head and Neck Cancer,Upper Aerodigestive
ACH-001377,5.162290614,7.519872097,PACADD137,Pancreatic Cancer,Pancreas
ACH-000754,6.940871478,7.374430938,L428,Lymphoma,Lymphocyte
ACH-000465,5.521364878,6.699468346,SKMEL1,Skin Cancer,Skin
ACH-000138,4.879705766,6.767125077,CFPAC1,Pancreatic Cancer,Pancreas
ACH-001864,2.550900665,5.963474124,YSCCC,Bile Duct Cancer,Bile Duct
ACH-000383,5.103917211,7.825722038,OE33,Esophageal Cancer,Esophagus
ACH-000917,5.610877199,7.343407822,TE4,Esophageal Cancer,Esophagus
ACH-000984,6.224580566,7.841218374,HEC6,Endometrial/Uterine Cancer,Uterus
ACH-001409,5.944389962,6.784765696,UMUC16,Bladder Cancer,Urinary Tract
ACH-000117,4.801676029,7.425425735,EFM192A,Breast Cancer,Breast
ACH-000999,4.772941338,7.593727246,SNU1040,Colon/Colorectal Cancer,Colorectal
ACH-000633,4.615298579,6.390254956,FU97,Gastric Cancer,Gastric
ACH-000520,5.231509211,7.455984709,59M,Ovarian Cancer,Ovary
ACH-000176,5.221490455,7.587440004,LOUNH91,Lung Cancer,Lung
ACH-000017,4.332707934,6.56163163,SKBR3,Breast Cancer,Breast
ACH-002022,4.277984747,7.740455397,PMFKO14,Colon/Colorectal Cancer,Colorectal
ACH-000020,5.898692073,8.525559959,MHHCALL2,Leukemia,Blood
ACH-001385,3.246408087,5.289096702,RPMI2650,Head and Neck Cancer,Upper Aerodigestive
ACH-000587,5.780310099,7.814294058,NCIH1975,Lung Cancer,Lung
ACH-000785,4.232660757,6.015916772,NCIH2126,Lung Cancer,Lung
ACH-000554,4.87036472,6.666614587,UACC893,Breast Cancer,Breast
ACH-001398,5.004501392,5.676944359,SW156,Kidney Cancer,Kidney
ACH-001991,5.114367025,7.197413299,NZOV9,Ovarian Cancer,Ovary
ACH-001709,5.527320608,7.34251919,WSUNHL,Lymphoma,Lymphocyte
ACH-001332,4.009884589,6.792334806,BICR78,Head and Neck Cancer,Upper Aerodigestive
ACH-000585,5.313245852,7.356936089,EPLC272H,Lung Cancer,Lung
ACH-000550,5.59454855,7.533719071,IGR39,Skin Cancer,Skin
ACH-000627,5.308885057,7.559262359,LCLC103H,Lung Cancer,Lung
ACH-000704,5.865671418,7.151980551,OAW42,Ovarian Cancer,Ovary
ACH-000276,5.811727898,6.976707312,HCC38,Breast Cancer,Breast
ACH-000075,5.285402219,7.552669098,U87MG,Brain Cancer,Central Nervous System
ACH-000818,4.024142346,7.137298581,BT483,Breast Cancer,Breast
ACH-001616,2.675815931,5.645586386,OCILY18,Lymphoma,Lymphocyte
ACH-000625,5.368419155,7.040673293,HEP3B217,Liver Cancer,Liver
ACH-000941,4.709290636,6.571373436,HEC1B,Endometrial/Uterine Cancer,Uterus
ACH-000392,4.406672716,6.196921734,CALU3,Lung Cancer,Lung
ACH-000269,6.20026108,8.285772093,AM38,Brain Cancer,Central Nervous System
ACH-001670,5.076815597,6.758756214,TASK1,Brain Cancer,Peripheral Nervous System
ACH-000856,5.77267747,7.527477006,CAL51,Breast Cancer,Breast
ACH-001119,4.302319051,6.437294331,MAC2A,Lymphoma,Lymphocyte
ACH-000376,5.648177796,7.420970763,SF295,Brain Cancer,Central Nervous System
ACH-000685,5.166715445,6.744968348,L33,Pancreatic Cancer,Pancreas
ACH-000729,5.852747965,7.299024807,NCIH1963,Lung Cancer,Lung
ACH-001034,5.685379552,7.661421833,CHLA9,Bone Cancer,Bone
ACH-001283,4.880195729,7.106641452,TC106,Bone Cancer,Bone
ACH-000880,6.326429487,7.558956363,AGS,Gastric Cancer,Gastric
ACH-000035,5.687340687,7.188638295,NCIH1650,Lung Cancer,Lung
ACH-001200,4.659353759,6.6387979,STM9101,Rhabdoid,Soft Tissue
ACH-000194,5.534808661,8.218151498,HS934T,Fibroblast,Fibroblast
ACH-000322,5.236492618,7.240791332,HT144,Skin Cancer,Skin
ACH-000552,4.871350841,7.436461703,HT29,Colon/Colorectal Cancer,Colorectal
ACH-002508,2.974529312,7.145677455,WM3211,Skin Cancer,Skin
ACH-000222,3.654206378,6.930619079,ASPC1,Pancreatic Cancer,Pancreas
ACH-000260,5.057883449,7.210330414,SKNAS,Neuroblastoma,Peripheral Nervous System
ACH-001652,4.189033824,6.674827832,SKGII,Endometrial/Uterine Cancer,Uterus
ACH-000608,5.167919866,6.20143783,COV644,Ovarian Cancer,Ovary
ACH-000501,5.627898616,6.622637567,LS123,Colon/Colorectal Cancer,Colorectal
ACH-000612,5.313971371,7.495375381,HUT102,Lymphoma,Lymphocyte
ACH-001184,4.904484098,7.570311124,SCMCRM2,Sarcoma,Soft Tissue
ACH-001688,2.622930351,4.847495884,UMRC7,Kidney Cancer,Kidney
ACH-001838,3.50589093,5.463033855,ICC12,Bile Duct Cancer,Bile Duct
ACH-000638,6.071676874,7.42634863,NCIH441,Lung Cancer,Lung
ACH-001846,4.61999983,6.861086906,ICC6,Bile Duct Cancer,Bile Duct
ACH-000798,4.144862143,6.764606243,CL40,Colon/Colorectal Cancer,Colorectal
ACH-001321,5.260025656,6.809543067,TT,Thyroid Cancer,Thyroid
ACH-000894,4.721372659,7.29994063,NCIH1869,Lung Cancer,Lung
ACH-001559,6.124741692,7.759621917,MERO82,Lung Cancer,Lung
ACH-000344,4.969012308,8.154514352,SNU668,Gastric Cancer,Gastric
ACH-000223,5.884842094,8.648932748,HCC1937,Breast Cancer,Breast
ACH-000031,4.727920455,6.311975314,PANC0213,Pancreatic Cancer,Pancreas
ACH-000034,4.098453246,6.638073837,PLB985,Leukemia,Blood
ACH-001861,5.144454314,6.635028799,TGBC1TKB,Gallbladder Cancer,Bile Duct
ACH-000772,5.308156975,8.01664117,TE441T,Sarcoma,Soft Tissue
ACH-000946,5.819668183,7.34925911,HEC265,Endometrial/Uterine Cancer,Uterus
ACH-000596,4.963474124,7.211498982,LCLC97TM1,Lung Cancer,Lung
ACH-000632,6.100557221,8.125620109,HS944T,Skin Cancer,Skin
ACH-000978,5.982993575,7.409730354,EN,Endometrial/Uterine Cancer,Uterus
ACH-000332,5.417852515,7.753684755,YAPC,Pancreatic Cancer,Pancreas
ACH-001841,5.35614381,6.748327048,ICC15,Bile Duct Cancer,Bile Duct
ACH-000179,6.519321735,8.306289585,NCIH1618,Lung Cancer,Lung
ACH-000887,5.442943496,7.415488271,SF172,Brain Cancer,Central Nervous System
ACH-000368,5.825785627,7.518771163,SNU1105,Brain Cancer,Central Nervous System
ACH-000240,4.671859468,7.572813895,HS600T,Fibroblast,Fibroblast
ACH-000578,6.107897062,7.227086417,HCC1171,Lung Cancer,Lung
ACH-001611,4.965322548,7.899356923,NP8,Brain Cancer,Central Nervous System
ACH-000135,3.950468414,6.987320866,HS940T,Fibroblast,Fibroblast
ACH-000406,6.049848549,7.388964416,U937,Leukemia,Blood
ACH-001541,4.821710215,6.759422186,KMS28PE,Myeloma,Plasma Cell
ACH-000998,4.788685711,7.820498107,CW2,Colon/Colorectal Cancer,Colorectal
ACH-000441,5.036503334,6.960928667,SH4,Skin Cancer,Skin
ACH-000960,6.411256746,9.405332959,REH,Leukemia,Blood
ACH-000098,6.23935985,7.823940382,GAMG,Brain Cancer,Central Nervous System
ACH-001651,4.391630262,6.896271849,SKGI,Endometrial/Uterine Cancer,Uterus
ACH-001456,3.658782734,6.190812368,C125PM,Colon/Colorectal Cancer,Colorectal
ACH-001336,5.341985747,6.30560579,CASKI,Cervical Cancer,Cervix
ACH-000284,5.039138394,8.159064009,HS840T,Fibroblast,Fibroblast
ACH-000971,6.351380981,8.35834351,HCT116,Colon/Colorectal Cancer,Colorectal
ACH-001454,4.730096466,6.289281178,C10,Colon/Colorectal Cancer,Colorectal
ACH-000926,5.007195501,6.905447179,HT55,Colon/Colorectal Cancer,Colorectal
ACH-000033,3.971773447,7.059831136,NCIH1819,Lung Cancer,Lung
ACH-000576,5.048323387,7.08182959,KMS27,Myeloma,Plasma Cell
ACH-000019,4.61117238,8.359837393,MCF7,Breast Cancer,Breast
ACH-001577,3.634593268,5.897240426,MUTZ8,Leukemia,Blood
ACH-000330,3.881664619,7.195446032,EFM19,Breast Cancer,Breast
ACH-000848,5.253232939,7.376168811,JHH7,Liver Cancer,Liver
ACH-000481,4.567423758,6.265474403,NCIH2170,Lung Cancer,Lung
ACH-001517,4.879215637,6.359134582,HEC1,Endometrial/Uterine Cancer,Uterus
ACH-000338,6.468420402,7.895726738,SR786,Lymphoma,Lymphocyte
ACH-001959,6.025914699,7.509458329,CCLP1,Bile Duct Cancer,Bile Duct
ACH-001414,2.757023247,6.28965006,UMUC6,Bladder Cancer,Urinary Tract
ACH-000871,5.980939266,7.71685375,NCIH510,Lung Cancer,Lung
ACH-001403,5.098453246,6.292781749,TO14,Ovarian Cancer,Ovary
ACH-000805,5.022367813,7.026689419,COLO679,Skin Cancer,Skin
ACH-001142,4.518535139,7.5389261,NHAHTDD,Engineered,Engineered Central Nervous System
ACH-001554,5.423241996,6.380937195,MEL202,Eye Cancer,Eye
ACH-000847,5.351557662,7.463033855,HGC27,Gastric Cancer,Gastric
ACH-001207,4.718087584,7.617798026,TIG3TD,Fibroblast,Fibroblast
ACH-000832,4.823239844,7.080337882,CAL27,Head and Neck Cancer,Upper Aerodigestive
ACH-000428,5.066950244,6.763809907,UO31,Kidney Cancer,Kidney
ACH-001382,4.17951105,6.444932049,PACADD188,Pancreatic Cancer,Pancreas
ACH-001302,4.634012356,7.577881959,COGN305,Neuroblastoma,Peripheral Nervous System
ACH-000690,5.921245889,6.853621456,HCC2814,Lung Cancer,Lung
ACH-001134,4.241840184,6.478324711,MYLA,Lymphoma,Lymphocyte
ACH-000914,5.475084883,8.616475329,HT,Lymphoma,Lymphocyte
ACH-000858,3.654206378,6.287620044,KNS62,Lung Cancer,Lung
ACH-001421,5.053111336,7.654206378,WERIRB1,Eye Cancer,Eye
ACH-000544,4.64731451,5.796493929,OE21,Esophageal Cancer,Esophagus
ACH-000725,4.767125077,7.456149035,HCC202,Breast Cancer,Breast
ACH-000566,5.277240898,6.989366114,SW1710,Bladder Cancer,Urinary Tract
ACH-000760,5.209843231,7.411087227,LNZ308,Brain Cancer,Central Nervous System
ACH-001745,5.093813673,7.324360591,RHJT,Sarcoma,Soft Tissue
ACH-000787,4.846994687,7.223808659,LXF289,Lung Cancer,Lung
ACH-000749,5.113117036,6.81275491,DMS273,Lung Cancer,Lung
ACH-001328,3.889473543,6.351380981,A431,Skin Cancer,Skin
ACH-001068,3.976363636,6.111657346,FEPD,Lymphoma,Lymphocyte
ACH-000358,5.454504938,7.415150205,NCIH69,Lung Cancer,Lung
ACH-001654,4.857980995,7.086189313,SKGT4,Esophageal Cancer,Esophagus
ACH-001521,5.264161071,7.431957188,HKA1,Skin Cancer,Skin
ACH-000209,4.3305584,6.434461432,SNU1079,Bile Duct Cancer,Bile Duct
ACH-001520,3.112700133,5.601993581,HG3,Leukemia,Blood
ACH-000213,4.477677328,7.843732657,HUPT4,Pancreatic Cancer,Pancreas
ACH-001610,5.783194703,7.106850796,NP5,Brain Cancer,Central Nervous System
ACH-001408,4.956985925,6.837943242,UMUC14,Bladder Cancer,Urinary Tract
ACH-000991,4.089159132,7.021479727,SNU81,Colon/Colorectal Cancer,Colorectal
ACH-001412,5.565901767,7.480911346,UMUC10,Bladder Cancer,Urinary Tract
ACH-000331,5.184280294,7.853559081,ISTMES2,Lung Cancer,Lung
ACH-001407,5.920769673,7.526147081,UMUC13,Bladder Cancer,Urinary Tract
ACH-000580,5.105594276,7.593801929,C32,Skin Cancer,Skin
ACH-000594,6.610138984,8.286280516,DMS153,Lung Cancer,Lung
ACH-000684,5.466953337,7.341452107,KMRC1,Kidney Cancer,Kidney
ACH-000742,3.374343989,7.296273847,DM3,Fibroblast,Fibroblast
ACH-000868,5.427270935,6.701826258,HCC1195,Lung Cancer,Lung
ACH-000732,5.283921772,6.421391632,PECAPJ41CLONED2,Head and Neck Cancer,Upper Aerodigestive
ACH-000429,3.560714954,6.047232996,A704,Kidney Cancer,Kidney
ACH-000310,5.216842843,8.402031425,IMR32,Neuroblastoma,Peripheral Nervous System
ACH-000643,4.487357715,6.726695004,HDQP1,Breast Cancer,Breast
ACH-000234,5.699329526,7.313971371,CAKI2,Kidney Cancer,Kidney
ACH-001498,5.242983516,7.615960619,FARAGE,Lymphoma,Lymphocyte
ACH-000896,4.44625623,6.9489512,647V,Bladder Cancer,Urinary Tract
ACH-000203,5.141596278,7.93032339,NH6,Neuroblastoma,Peripheral Nervous System
ACH-001607,5.350850805,7.966015097,NOZ,Gallbladder Cancer,Bile Duct
ACH-001441,1.937344392,5.283551423,921,Eye Cancer,Eye
ACH-000112,5.580748492,6.677367292,SIGM5,Leukemia,Blood
ACH-000186,5.399854674,7.222939769,NCIH2444,Lung Cancer,Lung
ACH-000677,6.417683769,7.299299615,SW1573,Lung Cancer,Lung
ACH-000055,4.583759754,7.652127928,D283MED,Brain Cancer,Central Nervous System
ACH-000485,3.825785627,7.172527519,GSU,Gastric Cancer,Gastric
ACH-000672,5.029011087,7.489286023,IALM,Lung Cancer,Lung
ACH-000287,5.75033852,8.170926525,NUDUL1,Lymphoma,Lymphocyte
ACH-000784,2.819668183,6.235152624,KYSE70,Esophageal Cancer,Esophagus
ACH-000530,5.402585758,7.967399199,DMS114,Lung Cancer,Lung
ACH-002024,4.523561956,6.416501993,ECC4,Colon/Colorectal Cancer,Colorectal
ACH-000380,6.022145843,7.478890934,KMS12BM,Myeloma,Plasma Cell
ACH-001737,5.63314055,7.217812331,HSB2,Leukemia,Blood
ACH-001400,2.550900665,3.90303827,SW954,Cervical Cancer,Cervix
ACH-001054,4.590961241,6.7473874,D458,Brain Cancer,Central Nervous System
ACH-000009,5.917670434,7.414389268,C2BBE1,Colon/Colorectal Cancer,Colorectal
ACH-000491,5.348019909,7.008652713,NCIH716,Colon/Colorectal Cancer,Colorectal
ACH-001703,2.558267634,5.23610989,VAL,Lymphoma,Lymphocyte
ACH-000002,3.833902077,6.055716264,HL60,Leukemia,Blood
ACH-001568,2.604071324,4.631104282,MM386,Skin Cancer,Skin
ACH-000993,5.387500406,6.642268352,JHUEM7,Endometrial/Uterine Cancer,Uterus
ACH-001578,5.533874777,6.711770204,NCCIT,Embryonal Cancer,Embryo
ACH-000877,5.825785627,7.657282717,EB1,Lymphoma,Lymphocyte
ACH-000711,5.990501111,7.102763097,JIMT1,Breast Cancer,Breast
ACH-001515,5.283551423,6.565140169,HCS2,Cervical Cancer,Cervix
ACH-000702,6.040234917,7.048868273,L1236,Lymphoma,Lymphocyte
ACH-001020,5.173527238,7.555202634,BT16,Rhabdoid,Soft Tissue
ACH-000600,5.335926241,7.250772132,SLR26,Kidney Cancer,Kidney
ACH-000354,4.921721947,6.746850183,CAPAN1,Pancreatic Cancer,Pancreas
ACH-000012,5.927659461,7.277519887,HCC827,Lung Cancer,Lung
ACH-000689,3.329123596,7.116447936,RH18,Sarcoma,Soft Tissue
ACH-000459,6.143230135,7.194264383,TUHR10TKB,Kidney Cancer,Kidney
ACH-001413,5.637494325,7.565140169,UMUC11,Bladder Cancer,Urinary Tract
ACH-000686,5.398829182,6.818390444,SNU878,Liver Cancer,Liver
ACH-000342,5.008540672,6.678353654,CL14,Colon/Colorectal Cancer,Colorectal
ACH-000208,5.556429415,7.226412193,U178,Brain Cancer,Central Nervous System
ACH-000360,3.044394119,6.324450605,NCIH508,Colon/Colorectal Cancer,Colorectal
ACH-000249,5.701826258,7.511436412,CL11,Colon/Colorectal Cancer,Colorectal
ACH-001368,5.998872454,7.890264277,OACM51,Esophageal Cancer,Esophagus
ACH-000231,5.405311683,7.671717965,KALS1,Brain Cancer,Central Nervous System
ACH-000945,5.554588852,7.247073033,NCIH650,Lung Cancer,Lung
ACH-000662,5.239932613,7.433460256,CORL23,Lung Cancer,Lung
ACH-002458,4.734980523,6.757690019,HT144SKINFV1,Skin Cancer,Skin
ACH-001378,3.557042415,6.118318192,PACADD159,Pancreatic Cancer,Pancreas
ACH-001029,5.6395216,6.55197736,CHLA10,Bone Cancer,Bone
ACH-000248,5.13627343,7.097400107,AU565,Breast Cancer,Breast
ACH-000943,4.861459166,7.682924378,RKO,Colon/Colorectal Cancer,Colorectal
ACH-000751,5.298658316,8.569893573,OCIM1,Leukemia,Blood
ACH-001016,4.820178962,6.954661621,BECKER,Brain Cancer,Central Nervous System
ACH-000282,6.114991613,7.868390453,NCIH1755,Lung Cancer,Lung
ACH-000261,6.164303583,8.073552487,RERFLCAI,Lung Cancer,Lung
ACH-000164,6.38249434,8.426558297,PANC1,Pancreatic Cancer,Pancreas
ACH-001793,4.869377924,7.085658344,LPS27,Liposarcoma,Soft Tissue
ACH-000262,5.29351763,8.077990648,UOK101,Kidney Cancer,Kidney
ACH-000158,5.322649262,7.619779801,OCILY3,Lymphoma,Lymphocyte
ACH-000773,5.497293009,7.181996999,KIJK,Lymphoma,Lymphocyte
ACH-000722,4.621172753,7.018144529,SNUC1,Colon/Colorectal Cancer,Colorectal
ACH-000857,4.372255648,6.433460256,CAL851,Breast Cancer,Breast
ACH-001129,5.348374075,6.320665184,MONOMAC1,Leukemia,Blood
ACH-001619,3.084064265,6.304511042,OCUG1,Gallbladder Cancer,Bile Duct
ACH-000184,5.237257771,7.540011766,HS343T,Fibroblast,Fibroblast
ACH-000329,5.457134594,7.76028749,CCFSTTG1,Brain Cancer,Central Nervous System
ACH-001569,3.907852072,5.926473911,MM415,Skin Cancer,Skin
ACH-000814,5.684538249,7.096873249,HS939T,Skin Cancer,Skin
ACH-000197,6.76035403,8.326654188,TALL1,Leukemia,Blood
ACH-000545,5.348019909,7.053545818,VMCUB1,Bladder Cancer,Urinary Tract
ACH-000949,4.976821852,7.253232939,TGBC11TKB,Gastric Cancer,Gastric
ACH-000124,5.805292456,7.857607836,OCILY19,Lymphoma,Lymphocyte
ACH-000560,5.362469889,7.253422058,ECC10,Gastric Cancer,Gastric
ACH-000897,5.627315001,7.654134757,FTC238,Thyroid Cancer,Thyroid
ACH-001626,4.378511623,6.74281467,OSC20,Head and Neck Cancer,Upper Aerodigestive
ACH-000619,4.79753184,5.863690714,PECAPJ15,Head and Neck Cancer,Upper Aerodigestive
ACH-001973,4.95373085,6.753149879,MM485,Skin Cancer,Skin
ACH-001340,5.029452886,6.625708843,COV413A,Ovarian Cancer,Ovary
ACH-000546,4.420212891,6.543650538,HSC4,Head and Neck Cancer,Upper Aerodigestive
ACH-002018,4.885574364,6.581953751,OMM25,Eye Cancer,Eye
ACH-000153,5.846493316,8.678811379,NCIH2052,Lung Cancer,Lung
ACH-000526,3.99004722,7.343585483,HS821T,Fibroblast,Fibroblast
ACH-000116,5.514753498,7.157144792,OAW28,Ovarian Cancer,Ovary
ACH-000815,4.780310099,8.54426899,KMH2,Lymphoma,Lymphocyte
ACH-001270,5.274634403,7.474598281,127399,Sarcoma,Soft Tissue
ACH-000324,6.499208091,7.099189986,JHOC5,Ovarian Cancer,Ovary
ACH-001561,4.491211756,6.109569509,MERO84,Lung Cancer,Lung
ACH-000842,5.508745554,7.224869925,SW480,Colon/Colorectal Cancer,Colorectal
ACH-000898,3.693765712,6.977279923,SNU719,Gastric Cancer,Gastric
ACH-000517,6.443938115,7.408966552,SNU410,Pancreatic Cancer,Pancreas
ACH-001415,5.062208078,6.873321063,UMUC7,Bladder Cancer,Urinary Tract
ACH-000681,5.642412773,7.263691734,A549,Lung Cancer,Lung
ACH-001310,5.81275491,7.431037874,HA1E,Engineered,Engineered Kidney
ACH-000070,6.167919866,8.497173232,697,Leukemia,Blood
ACH-000484,4.506525779,7.009996526,VMRCRCW,Kidney Cancer,Kidney
ACH-000108,5.229587923,7.00303998,KP3,Pancreatic Cancer,Pancreas
ACH-000808,5.314696526,7.39609097,HUH28,Bile Duct Cancer,Bile Duct
ACH-000656,7.048650343,7.698912983,SUDHL8,Lymphoma,Lymphocyte
ACH-000166,5.049195106,6.98879828,KASUMI6,Leukemia,Blood
ACH-000997,6.142004916,7.784438547,HCT15,Colon/Colorectal Cancer,Colorectal
ACH-000866,5.964860664,8.777879937,NCIH1048,Lung Cancer,Lung
ACH-000819,5.744699314,8.199966742,LN18,Brain Cancer,Central Nervous System
ACH-000226,6.279657007,8.254981345,SUPM2,Lymphoma,Lymphocyte
ACH-000087,5.792595103,7.623003538,SKES1,Bone Cancer,Bone
ACH-000340,5.402585758,8.071194179,HS870T,Fibroblast,Fibroblast
ACH-002005,5.112283109,6.939226578,SKMEL19,Skin Cancer,Skin
ACH-000658,4.616475329,5.863442934,KMS18,Myeloma,Plasma Cell
ACH-000758,5.832130501,7.615077832,MKN74,Gastric Cancer,Gastric
ACH-000196,5.722466024,7.845991771,HCC1599,Breast Cancer,Breast
ACH-000258,5.938756261,8.910372903,DU4475,Breast Cancer,Breast
ACH-000163,5.461724992,8.07451614,SW579,Thyroid Cancer,Thyroid
ACH-000076,5.092545742,7.845678216,NCO2,Leukemia,Blood
ACH-000509,6.311612098,8.440910683,HUT78,Lymphoma,Lymphocyte
ACH-001193,5.815319246,7.657139777,SKPNDW,Bone Cancer,Bone
ACH-000571,5.187846909,7.125671763,T98G,Brain Cancer,Central Nervous System
ACH-000391,5.967399199,7.142923928,MHHES1,Bone Cancer,Bone
ACH-000293,5.149340669,6.680324357,KLE,Endometrial/Uterine Cancer,Uterus
ACH-000584,5.101397952,6.981396032,JHOS4,Ovarian Cancer,Ovary
ACH-001690,4.287620044,5.751945682,UPCISCC026,Head and Neck Cancer,Upper Aerodigestive
ACH-000586,5.441284272,8.615739973,NCIH1876,Lung Cancer,Lung
ACH-000944,6.004726094,7.4471659,NAMALWA,Lymphoma,Lymphocyte
ACH-001173,3.94673086,5.537296067,R262,Brain Cancer,Central Nervous System
ACH-000561,4.265286858,6.686220365,TDOTT,Esophageal Cancer,Esophagus
ACH-001648,2.742006211,5.669310286,SHMAC4,Prostate Cancer,Prostate
ACH-000394,5.873813198,7.035843816,NCIH2081,Lung Cancer,Lung
ACH-000954,6.086826218,7.54851369,HEC1A,Endometrial/Uterine Cancer,Uterus
ACH-000204,4.27351589,6.806066226,LP1,Myeloma,Plasma Cell
ACH-001163,5.043956873,6.845239126,CCLFPEDS0001T,Kidney Cancer,Kidney
ACH-000160,5.050066298,7.081510068,BT12,Rhabdoid,Soft Tissue
ACH-000989,4.781884235,7.359573879,SNU175,Colon/Colorectal Cancer,Colorectal
ACH-001347,1.713695815,5.378858383,H157,Head and Neck Cancer,Upper Aerodigestive
ACH-000691,5.374343989,7.059831136,HCC2157,Breast Cancer,Breast
ACH-000268,4.843983844,7.525442506,SNU245,Bile Duct Cancer,Bile Duct
ACH-000119,3.851998837,7.263785614,HS863T,Fibroblast,Fibroblast
ACH-000379,4.651912745,6.996614715,NCIH1781,Lung Cancer,Lung
ACH-001341,4.7322692,7.308248005,DOTC24510,Cervical Cancer,Cervix
ACH-001790,5.053545818,7.985329647,RH18DM,Sarcoma,Soft Tissue
ACH-000714,6.731726323,7.6387979,KMS11,Myeloma,Plasma Cell
ACH-000937,6.958610712,8.418021241,PF382,Leukemia,Blood
ACH-000763,7.082149041,7.876455554,MM1S,Myeloma,Plasma Cell
ACH-001673,5.231893162,7.002927502,TFK1,Bile Duct Cancer,Bile Duct
ACH-000326,4.857483428,8.181847963,JURLMK1,Leukemia,Blood
ACH-000300,6.19711838,7.586614642,SLR25,Kidney Cancer,Kidney
ACH-000901,6.187253086,7.93032339,HCC1359,Lung Cancer,Lung
ACH-000816,5.203201156,6.755555262,NCIH524,Lung Cancer,Lung
ACH-000641,5.621758857,7.406332578,CMK,Leukemia,Blood
ACH-000511,6.680324357,8.264161071,CALU1,Lung Cancer,Lung
ACH-000583,5.824004051,7.767919586,MC116,Lymphoma,Lymphocyte
ACH-000836,5.879705766,7.377297306,YD15,Head and Neck Cancer,Upper Aerodigestive
ACH-000975,6.450056494,7.023255352,HCC2450,Lung Cancer,Lung
ACH-000109,5.781097381,7.082255509,NCIH3255,Lung Cancer,Lung
ACH-000467,4.509062386,7.449396297,HCC56,Colon/Colorectal Cancer,Colorectal
ACH-000712,5.289834465,7.717333699,HCC1833,Lung Cancer,Lung
ACH-000671,5.302319051,6.776762002,HUH6,Liver Cancer,Liver
ACH-000523,5.531069493,8.131239633,NCIH1184,Lung Cancer,Lung
