DepMap ID,BUB1_expression,BUB3_expression,Cell Line Name,Primary Disease,Lineage
ACH-000301,4.238022518,7.389394724,LAMA84,Leukemia,Blood
ACH-002459,4.026800059,6.271649772,HT144SKINFV3,Skin Cancer,Skin
ACH-000976,5.30633516,7.433126376,HUCCT1,Bile Duct Cancer,Bile Duct
ACH-001516,5.539779192,8.41100246,HCSC1,Cervical Cancer,Cervix
ACH-001354,4.759155834,6.741332149,LAN2,Neuroblastoma,Peripheral Nervous System
ACH-001645,4.232660757,6.083426139,SEKI,Skin Cancer,Skin
ACH-000867,4.39848719,6.107269394,CHAGOK1,Lung Cancer,Lung
ACH-000304,5.358255587,6.498410449,WM115,Skin Cancer,Skin
ACH-002069,5.64385619,7.260496187,HSOS1,Bone Cancer,Bone
ACH-000931,5.916954279,7.263691734,HMCB,Skin Cancer,Skin
ACH-001374,6.231893162,7.028016544,PA1,Ovarian Cancer,Ovary
ACH-000302,4.730096466,5.778208576,SNU1077,Endometrial/Uterine Cancer,Uterus
ACH-000305,3.189033824,5.616181231,ECGI10,Esophageal Cancer,Esophagus
ACH-000072,5.361417467,7.346868269,MEG01,Leukemia,Blood
ACH-000766,5.394376945,6.651051691,NCIH1648,Lung Cancer,Lung
ACH-000533,4.824767853,7.097189387,NCIH2004RT,Rhabdoid,Soft Tissue
ACH-000343,5.672142433,6.70348835,NCIH522,Lung Cancer,Lung
ACH-000171,5.675251386,6.956172844,VMRCRCZ,Kidney Cancer,Kidney
ACH-000173,5.576522138,6.929672662,JHUEM3,Endometrial/Uterine Cancer,Uterus
ACH-000535,4.725195817,7.466545554,BXPC3,Pancreatic Cancer,Pancreas
ACH-000774,4.457462965,6.509062386,RERFLCAD2,Lung Cancer,Lung
ACH-000178,4.837943242,7.879154359,HS766T,Pancreatic Cancer,Pancreas
ACH-001306,5.619119511,7.720688885,8305C,Thyroid Cancer,Thyroid
ACH-000994,5.683134985,7.608735332,HEC59,Endometrial/Uterine Cancer,Uterus
ACH-000372,6.663771557,7.844423317,P12ICHIKAWA,Leukemia,Blood
ACH-000804,5.21023299,7.591036068,NB1,Neuroblastoma,Peripheral Nervous System
ACH-000011,4.676380255,6.833269621,253J,Bladder Cancer,Urinary Tract
ACH-000733,5.827056837,7.168220814,NCIH1838,Lung Cancer,Lung
ACH-001603,3.799087306,6.946964741,NH12,Neuroblastoma,Peripheral Nervous System
ACH-000829,6.478162893,8.157700618,HUNS1,Myeloma,Plasma Cell
ACH-000141,5.04745114,6.736469582,SNU308,Gallbladder Cancer,Bile Duct
ACH-000810,5.432625411,7.777682717,SKMEL30,Skin Cancer,Skin
