Species,mass_gm,Cell_type,volume_fl,Source
Equus caballus,270000.00,fibroblasts,155.94,"[Morgado, 1990]"
Bos taurus,450000.00,fibroblasts,95.49,"[Morgado, 1990]"
Mus musculus,40.00,fibrocytes,19.51,"[Morgado, 1990]"
Mesocricetus auratus,135.00,fibrocytes,38.96,"[Morgado, 1990]"
Mesocricetus auratus,168.00,fibrocytes,80.53,"[Morgado, 1990]"
Rattus norvegicus,189.00,fibrocytes,81.53,"[Morgado, 1990]"
Rattus norvegicus,200.00,fibrocytes,51.33,"[Morgado, 1990]"
Felis catus,2700.00,fibrocytes,75.47,"[Morgado, 1990]"
Canis familiaris,5300.00,fibrocytes,59.06,"[Morgado, 1990]"
Ovis aries,12000.00,fibrocytes,41.35,"[Morgado, 1990]"
Sus scrofa,120000.00,fibrocytes,72.18,"[Morgado, 1990]"
Equus caballus,270000.00,fibrocytes,35.52,"[Morgado, 1990]"
Bos taurus,450000.00,fibrocytes,81.99,"[Morgado, 1990]"
Mus musculus,40.00,glomerular epithelium,155.97,"[Morgado, 1990]"
Mesocricetus auratus,135.00,glomerular epithelium,523.95,"[Morgado, 1990]"
Mesocricetus auratus,168.00,glomerular epithelium,977.49,"[Morgado, 1990]"
Rattus norvegicus,189.00,glomerular epithelium,1063.68,"[Morgado, 1990]"
Rattus norvegicus,200.00,glomerular epithelium,340.64,"[Morgado, 1990]"
Felis catus,2700.00,glomerular epithelium,851.43,"[Morgado, 1990]"
Canis familiaris,5300.00,glomerular epithelium,638.31,"[Morgado, 1990]"
Ovis aries,12000.00,glomerular epithelium,480.03,"[Morgado, 1990]"
Sus scrofa,120000.00,glomerular epithelium,466.87,"[Morgado, 1990]"
Equus caballus,270000.00,glomerular epithelium,825.32,"[Morgado, 1990]"
Bos taurus,450000.00,glomerular epithelium,496.72,"[Morgado, 1990]"
Mus musculus,20.00,goblet cells,2835.12,"[Maldonado, 1974]"
Mus musculus,40.00,goblet cells,1517.15,"[Morgado, 1990]"
Mesocricetus auratus,135.00,goblet cells,991.95,"[Morgado, 1990]"
Mesocricetus auratus,168.00,goblet cells,1048.48,"[Morgado, 1990]"
Rattus norvegicus,189.00,goblet cells,1450.86,"[Morgado, 1990]"
Rattus norvegicus,200.00,goblet cells,1312.85,"[Morgado, 1990]"
Felis catus,2700.00,goblet cells,1134.60,"[Morgado, 1990]"
Canis familiaris,5300.00,goblet cells,1547.47,"[Morgado, 1990]"
Ovis aries,12000.00,goblet cells,1682.43,"[Morgado, 1990]"
Canis familiaris,13000.00,goblet cells,5932.37,"[Maldonado, 1974]"
Sus scrofa,120000.00,goblet cells,1960.86,"[Morgado, 1990]"
Equus caballus,270000.00,goblet cells,1924.11,"[Morgado, 1990]"
Bos taurus,450000.00,goblet cells,2167.98,"[Morgado, 1990]"
Bos taurus,600000.00,goblet cells,8681.99,"[Maldonado, 1974]"
Mus musculus,40.00,Henle-loop cells,565.67,"[Morgado, 1990]"
Mesocricetus auratus,135.00,Henle-loop cells,498.65,"[Morgado, 1990]"
Mesocricetus auratus,168.00,Henle-loop cells,709.33,"[Morgado, 1990]"
Rattus norvegicus,189.00,Henle-loop cells,878.11,"[Morgado, 1990]"
Rattus norvegicus,200.00,Henle-loop cells,423.16,"[Morgado, 1990]"
Felis catus,2700.00,Henle-loop cells,756.86,"[Morgado, 1990]"
Canis familiaris,5300.00,Henle-loop cells,872.16,"[Morgado, 1990]"
Ovis aries,12000.00,Henle-loop cells,585.40,"[Morgado, 1990]"
Sus scrofa,120000.00,Henle-loop cells,527.17,"[Morgado, 1990]"
Equus caballus,270000.00,Henle-loop cells,654.97,"[Morgado, 1990]"
Bos taurus,450000.00,Henle-loop cells,721.19,"[Morgado, 1990]"
Mus musculus,20.00,hepatocytes,3240.53,"[Maldonado, 1974]"
Mus musculus,40.00,hepatocytes,2423.73,"[Morgado, 1990]"
Mesocricetus auratus,135.00,hepatocytes,1872.43,"[Morgado, 1990]"
Mesocricetus auratus,168.00,hepatocytes,2217.66,"[Morgado, 1990]"
Rattus norvegicus,189.00,hepatocytes,2342.87,"[Morgado, 1990]"
Rattus norvegicus,200.00,hepatocytes,2032.54,"[Morgado, 1990]"
Felis catus,2700.00,hepatocytes,1872.62,"[Morgado, 1990]"
Canis familiaris,5300.00,hepatocytes,2078.47,"[Morgado, 1990]"
Ovis aries,12000.00,hepatocytes,1890.45,"[Morgado, 1990]"
Canis familiaris,13000.00,hepatocytes,1927.26,"[Maldonado, 1974]"
Sus scrofa,120000.00,hepatocytes,1278.90,"[Morgado, 1990]"
Equus caballus,270000.00,hepatocytes,2564.75,"[Morgado, 1990]"
Bos taurus,450000.00,hepatocytes,2105.37,"[Morgado, 1990]"
Bos taurus,600000.00,hepatocytes,1732.04,"[Maldonado, 1974]"
Suncus etruscus,2.70,lung endothelial cells,672.00,"[Stone, 1992]"
Mus musculus,19.20,lung endothelial cells,367.00,"[Stone, 1992]"
Mesocricetus auratus,106.00,lung endothelial cells,410.00,"[Stone, 1992]"
Rattus norvegius (Fisher 344),290.00,lung endothelial cells,275.00,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),363.00,lung endothelial cells,387.00,"[Stone, 1992]"
Cavia porcellus,335.00,lung endothelial cells,335.00,"[Stone, 1992]"
Oryctolagus cuniculus,2720.00,lung endothelial cells,316.00,"[Stone, 1992]"
Canis familiaris,16000.00,lung endothelial cells,343.00,"[Stone, 1992]"
Homo sapien,68500.00,lung endothelial cells,611.00,"[Stone, 1992]"
Equus caballus,513000.00,lung endothelial cells,475.00,"[Stone, 1992]"
Suncus etruscus,2.70,lung interstitial cells,178.00,"[Stone, 1992]"
Mus musculus,19.20,lung interstitial cells,466.00,"[Stone, 1992]"
Mesocricetus auratus,106.00,lung interstitial cells,593.00,"[Stone, 1992]"
Rattus norvegius (Fisher 344),290.00,lung interstitial cells,427.00,"[Stone, 1992]"
Rattus norvegicus (Sprague-Dawley),363.00,lung interstitial cells,331.00,"[Stone, 1992]"
Cavia porcellus,335.00,lung interstitial cells,292.00,"[Stone, 1992]"
Oryctolagus cuniculus,2720.00,lung interstitial cells,449.00,"[Stone, 1992]"
Canis familiaris,16000.00,lung interstitial cells,440.00,"[Stone, 1992]"
Homo sapien,68500.00,lung interstitial cells,774.00,"[Stone, 1992]"
